Time	SWR_O0
19.10.2018 18:19:15	-3.111
19.10.2018 18:19:45	-2.904
19.10.2018 18:20:00	-3.028
19.10.2018 18:20:15	-3.083
19.10.2018 18:20:30	-3.208
19.10.2018 18:20:45	-3.208
19.10.2018 18:21:00	-3.014
19.10.2018 18:21:15	-2.904
19.10.2018 18:21:30	-2.710
19.10.2018 18:21:45	-2.751
19.10.2018 18:22:00	-2.696
19.10.2018 18:22:15	-2.696
19.10.2018 18:22:30	-2.696
19.10.2018 18:22:45	-2.517
19.10.2018 18:23:00	-1.909
19.10.2018 18:23:15	-2.074
19.10.2018 18:23:30	-2.212
19.10.2018 18:23:45	-2.281
19.10.2018 18:24:00	-2.281
19.10.2018 18:24:15	-2.475
19.10.2018 18:24:30	-2.544
19.10.2018 18:24:45	-2.738
19.10.2018 18:25:00	-2.904
19.10.2018 18:25:15	-2.904
19.10.2018 18:25:30	-2.904
19.10.2018 18:25:45	-2.904
19.10.2018 18:26:00	-2.904
19.10.2018 18:26:15	-2.904
19.10.2018 18:26:30	-2.904
19.10.2018 18:26:45	-2.517
19.10.2018 18:27:00	-2.710
19.10.2018 18:27:15	-2.904
19.10.2018 18:27:30	-2.904
19.10.2018 18:27:45	-2.904
19.10.2018 18:28:00	-2.904
19.10.2018 18:28:15	-3.014
19.10.2018 18:28:30	-3.111
19.10.2018 18:28:45	-3.222
19.10.2018 18:29:00	-3.235
19.10.2018 18:29:15	-3.111
19.10.2018 18:29:30	-3.111
19.10.2018 18:29:45	-2.945
19.10.2018 18:30:00	-2.904
19.10.2018 18:30:15	-2.904
19.10.2018 18:30:30	-2.904
19.10.2018 18:30:45	-2.904
19.10.2018 18:31:00	-2.904
19.10.2018 18:31:15	-3.111
19.10.2018 18:31:30	-3.222
19.10.2018 18:31:45	-3.319
19.10.2018 18:32:00	-3.456
19.10.2018 18:32:15	-3.526
19.10.2018 18:32:30	-3.526
19.10.2018 18:32:45	-3.526
19.10.2018 18:33:00	-3.374
19.10.2018 18:33:15	-3.235
19.10.2018 18:33:30	-3.098
19.10.2018 18:33:45	-2.904
19.10.2018 18:34:00	-2.904
19.10.2018 18:34:15	-2.904
19.10.2018 18:34:30	-2.904
19.10.2018 18:34:45	-2.904
19.10.2018 18:35:00	-2.848
19.10.2018 18:35:15	-2.696
19.10.2018 18:35:30	-2.696
19.10.2018 18:35:45	-2.696
19.10.2018 18:36:00	-2.765
19.10.2018 18:36:15	-2.904
19.10.2018 18:36:30	-2.904
19.10.2018 18:36:45	-2.904
19.10.2018 18:37:00	-2.904
19.10.2018 18:37:15	-2.904
19.10.2018 18:37:30	-2.904
19.10.2018 18:37:45	-2.904
19.10.2018 18:38:00	-2.904
19.10.2018 18:38:15	-3.028
19.10.2018 18:38:30	-3.111
19.10.2018 18:38:45	-3.111
19.10.2018 18:39:00	-3.111
19.10.2018 18:39:15	-3.111
19.10.2018 18:39:30	-3.111
19.10.2018 18:39:45	-3.111
19.10.2018 18:40:00	-3.111
19.10.2018 18:40:15	-3.111
19.10.2018 18:40:30	-3.111
19.10.2018 18:40:45	-3.111
19.10.2018 18:41:00	-3.111
19.10.2018 18:41:15	-3.111
19.10.2018 18:41:30	-3.111
19.10.2018 18:41:45	-3.111
19.10.2018 18:42:00	-3.111
19.10.2018 18:42:15	-2.972
19.10.2018 18:42:30	-2.904
19.10.2018 18:42:45	-2.904
19.10.2018 18:43:00	-2.904
19.10.2018 18:43:15	-2.738
19.10.2018 18:43:30	-2.654
19.10.2018 18:43:45	-2.489
19.10.2018 18:44:00	-2.489
19.10.2018 18:44:15	-2.448
19.10.2018 18:44:30	-2.281
19.10.2018 18:44:45	-2.281
19.10.2018 18:45:00	-2.281
19.10.2018 18:45:15	-2.130
19.10.2018 18:45:30	-1.922
19.10.2018 18:45:45	-1.867
19.10.2018 18:46:00	-1.812
19.10.2018 18:46:15	-1.659
19.10.2018 18:46:30	-1.659
19.10.2018 18:46:45	-1.576
19.10.2018 18:47:00	-1.480
19.10.2018 18:47:15	-1.452
19.10.2018 18:47:30	-1.452
19.10.2018 18:47:45	-1.631
19.10.2018 18:48:00	-1.646
19.10.2018 18:48:15	-1.659
19.10.2018 18:48:30	-1.784
19.10.2018 18:48:45	-1.867
19.10.2018 18:49:00	-2.005
19.10.2018 18:49:15	-2.157
19.10.2018 18:49:30	-2.281
19.10.2018 18:49:45	-2.309
19.10.2018 18:50:00	-2.475
19.10.2018 18:50:15	-2.489
19.10.2018 18:50:30	-2.309
19.10.2018 18:50:45	-2.281
19.10.2018 18:51:00	-2.212
19.10.2018 18:51:15	-2.075
19.10.2018 18:51:30	-2.075
19.10.2018 18:51:45	-2.130
19.10.2018 18:52:00	-2.281
19.10.2018 18:52:15	-2.462
19.10.2018 18:52:30	-2.489
19.10.2018 18:52:45	-2.489
19.10.2018 18:53:00	-2.489
19.10.2018 18:53:15	-2.489
19.10.2018 18:53:30	-2.489
19.10.2018 18:53:45	-2.338
19.10.2018 18:54:00	-2.212
19.10.2018 18:54:15	-2.075
19.10.2018 18:54:30	-2.075
19.10.2018 18:54:45	-1.991
19.10.2018 18:55:00	-1.867
19.10.2018 18:55:15	-1.867
19.10.2018 18:55:30	-1.909
19.10.2018 18:55:45	-2.075
19.10.2018 18:56:00	-2.115
19.10.2018 18:56:15	-2.281
19.10.2018 18:56:30	-2.281
19.10.2018 18:56:45	-2.281
19.10.2018 18:57:00	-2.226
19.10.2018 18:57:15	-2.075
19.10.2018 18:57:30	-2.075
19.10.2018 18:57:45	-2.268
19.10.2018 18:58:00	-2.213
19.10.2018 18:58:15	-2.268
19.10.2018 18:58:30	-2.338
19.10.2018 18:58:45	-2.489
19.10.2018 18:59:00	-2.641
19.10.2018 18:59:15	-2.697
19.10.2018 18:59:30	-2.697
19.10.2018 18:59:45	-2.697
19.10.2018 19:00:00	-2.794
19.10.2018 19:00:15	-2.904
