Time	SWR_F5
19.10.2018 19:53:00	-2.093
19.10.2018 19:53:15	-2.093
19.10.2018 19:53:30	-2.093
19.10.2018 19:53:45	-2.268
19.10.2018 19:54:00	-2.268
19.10.2018 19:54:15	-2.268
19.10.2018 19:54:30	-2.268
19.10.2018 19:54:45	-2.268
19.10.2018 19:55:00	-2.093
19.10.2018 19:55:15	-2.093
19.10.2018 19:55:30	-2.093
19.10.2018 19:55:45	-2.093
19.10.2018 19:56:00	-2.093
19.10.2018 19:56:15	-2.093
19.10.2018 19:56:30	-2.093
19.10.2018 19:56:45	-2.093
19.10.2018 19:57:00	-2.093
19.10.2018 19:57:15	-2.093
19.10.2018 19:57:30	-2.093
19.10.2018 19:57:45	-2.093
19.10.2018 19:58:00	-2.093
19.10.2018 19:58:15	-2.093
19.10.2018 19:58:30	-2.093
19.10.2018 19:58:45	-2.093
19.10.2018 19:59:00	-2.093
19.10.2018 19:59:15	-2.093
19.10.2018 19:59:30	-2.093
19.10.2018 19:59:45	-2.093
19.10.2018 20:00:00	-2.093
19.10.2018 20:00:15	-2.093
19.10.2018 20:00:30	-2.093
19.10.2018 20:00:45	-2.093
19.10.2018 20:01:00	-2.093
19.10.2018 20:01:15	-2.093
19.10.2018 20:01:30	-2.093
19.10.2018 20:01:45	-2.093
19.10.2018 20:02:00	-2.093
19.10.2018 20:02:15	-2.268
19.10.2018 20:02:30	-2.268
19.10.2018 20:02:45	-2.268
19.10.2018 20:03:00	-2.268
19.10.2018 20:03:15	-2.268
19.10.2018 20:03:30	-2.268
19.10.2018 20:03:45	-2.268
19.10.2018 20:04:00	-2.268
19.10.2018 20:04:15	-2.268
19.10.2018 20:04:30	-2.268
19.10.2018 20:04:45	-2.268
19.10.2018 20:05:00	-2.268
19.10.2018 20:05:15	-2.268
19.10.2018 20:05:30	-2.268
19.10.2018 20:05:45	-2.268
19.10.2018 20:06:00	-2.093
19.10.2018 20:06:15	-2.093
19.10.2018 20:06:30	-2.093
19.10.2018 20:06:45	-2.093
19.10.2018 20:07:00	-2.093
19.10.2018 20:07:15	-2.093
19.10.2018 20:07:30	-2.093
19.10.2018 20:07:45	-2.093
19.10.2018 20:08:00	-2.093
19.10.2018 20:08:15	-2.093
19.10.2018 20:08:30	-2.268
19.10.2018 20:08:45	-2.268
19.10.2018 20:09:00	-2.268
19.10.2018 20:09:15	-2.268
19.10.2018 20:09:30	-2.093
19.10.2018 20:09:45	-2.268
19.10.2018 20:10:00	-2.093
19.10.2018 20:10:15	-2.093
19.10.2018 20:10:30	-2.268
19.10.2018 20:10:45	-2.268
19.10.2018 20:11:00	-2.268
19.10.2018 20:11:15	-2.268
19.10.2018 20:11:30	-2.268
19.10.2018 20:11:45	-2.268
19.10.2018 20:12:00	-2.268
19.10.2018 20:12:15	-2.268
19.10.2018 20:12:30	-2.268
19.10.2018 20:12:45	-2.093
19.10.2018 20:13:00	-2.093
19.10.2018 20:13:15	-2.093
19.10.2018 20:13:30	-2.093
19.10.2018 20:13:45	-2.093
19.10.2018 20:14:00	-2.093
19.10.2018 20:14:15	-2.093
19.10.2018 20:14:30	-2.093
19.10.2018 20:14:45	-2.093
19.10.2018 20:15:00	-2.093
19.10.2018 20:15:15	-2.093
19.10.2018 20:15:30	-2.093
19.10.2018 20:15:45	-2.093
19.10.2018 20:16:00	-2.093
19.10.2018 20:16:15	-2.093
19.10.2018 20:16:30	-2.093
19.10.2018 20:16:45	-2.268
19.10.2018 20:17:00	-2.268
19.10.2018 20:17:15	-2.093
19.10.2018 20:17:30	-2.093
19.10.2018 20:17:45	-2.093
19.10.2018 20:18:00	-2.093
19.10.2018 20:18:15	-2.093
19.10.2018 20:18:30	-2.093
19.10.2018 20:18:45	-2.093
19.10.2018 20:19:00	-2.093
19.10.2018 20:19:15	-2.093
19.10.2018 20:19:30	-2.093
19.10.2018 20:19:45	-2.093
19.10.2018 20:20:00	-2.093
19.10.2018 20:20:15	-2.093
19.10.2018 20:20:30	-2.093
19.10.2018 20:20:45	-2.093
19.10.2018 20:21:00	-2.093
19.10.2018 20:21:15	-2.093
19.10.2018 20:21:30	-2.094
19.10.2018 20:21:45	-2.094
19.10.2018 20:22:00	-2.094
19.10.2018 20:22:15	-2.094
19.10.2018 20:22:30	-2.094
19.10.2018 20:22:45	-2.094
19.10.2018 20:23:00	-1.919
19.10.2018 20:23:15	-1.919
19.10.2018 20:23:30	-1.919
19.10.2018 20:23:45	-1.919
19.10.2018 20:24:00	-1.919
19.10.2018 20:24:15	-2.094
19.10.2018 20:24:30	-2.094
19.10.2018 20:24:45	-2.094
19.10.2018 20:25:00	-2.094
19.10.2018 20:25:15	-2.094
19.10.2018 20:25:30	-2.094
19.10.2018 20:25:45	-2.094
19.10.2018 20:26:00	-2.094
19.10.2018 20:26:15	-2.094
19.10.2018 20:26:30	-2.094
19.10.2018 20:26:45	-2.268
19.10.2018 20:27:00	-2.268
19.10.2018 20:27:15	-2.094
19.10.2018 20:27:30	-2.094
19.10.2018 20:27:45	-2.268
19.10.2018 20:28:00	-2.268
19.10.2018 20:28:15	-2.268
19.10.2018 20:28:30	-2.268
19.10.2018 20:28:45	-2.268
19.10.2018 20:29:00	-2.268
19.10.2018 20:29:15	-2.268
19.10.2018 20:29:30	-2.268
19.10.2018 20:29:45	-2.268
19.10.2018 20:30:00	-2.094
19.10.2018 20:30:15	-2.094
19.10.2018 20:30:30	-1.919
19.10.2018 20:30:45	-1.745
19.10.2018 20:31:00	-1.745
19.10.2018 20:31:15	-1.745
19.10.2018 20:31:30	-1.745
19.10.2018 20:31:45	-1.919
19.10.2018 20:32:00	-2.094
19.10.2018 20:32:15	-2.094
19.10.2018 20:32:30	-2.094
19.10.2018 20:32:45	-2.094
19.10.2018 20:33:00	-2.094
19.10.2018 20:33:15	-2.094
19.10.2018 20:33:30	-2.268
19.10.2018 20:33:45	-2.094
19.10.2018 20:34:00	-2.094
19.10.2018 20:34:15	-2.094
19.10.2018 20:34:30	-2.094
19.10.2018 20:34:45	-2.094
19.10.2018 20:35:00	-2.094
19.10.2018 20:35:15	-2.094
19.10.2018 20:35:30	-2.094
19.10.2018 20:35:45	-2.094
19.10.2018 20:36:00	-2.094
19.10.2018 20:36:15	-2.094
19.10.2018 20:36:30	-2.094
19.10.2018 20:36:45	-2.094
19.10.2018 20:37:00	-2.094
19.10.2018 20:37:15	-2.094
